Wall time,Step,Value
1716326939.87276,1932,-121.52205657958984
1716326941.1571758,2415,-121.01144409179688
1716326948.9782162,5313,-119.59233856201172
1716326954.1732404,7245,-117.60150909423828
1716326955.438269,7728,-116.89778900146484
1716326958.4729364,9177,-114.80266571044922
1716326959.481247,9660,-114.21630096435547
1716326960.4962025,10143,-113.93024444580078
1716326962.5152717,11109,-112.33781433105469
1716326963.5293417,11592,-111.2950439453125
1716326966.5666769,13041,-108.45106506347656
1716326967.577532,13524,-107.59159851074219
1716326980.9776845,18837,-96.84471893310547
1716326982.9942513,19803,-94.90924072265625
1716326990.1710882,23184,-88.46334838867188
1716326991.186147,23667,-87.41069030761719
1716326992.1943038,24150,-86.7331314086914
1716326994.214141,25116,-85.4037857055664
1716326997.240018,26565,-83.47605895996094
1716327000.4041562,28014,-81.34749603271484
1716327003.4489288,29463,-79.37311553955078
1716327004.461619,29946,-78.80401611328125
1716327005.4754848,30429,-78.05521392822266
1716327006.490659,30912,-77.57049560546875
1716327008.5146885,31878,-76.56836700439453
1716327009.324808,32361,-75.96597290039062
1716327010.1308122,32844,-75.30419158935547
1716327010.9356327,33327,-74.69432067871094
1716327012.5394282,34293,-73.88018798828125
1716327013.430985,34776,-73.2220687866211
1716327018.8338747,37674,-70.04261779785156
1716327020.8558307,38640,-69.35026550292969
1716327023.8736994,40089,-67.79544067382812
1716327030.480913,43470,-64.35980224609375
1716327040.5753658,48300,-61.022090911865234
1716327044.5497699,50232,-59.526485443115234
1716327047.5792773,51681,-58.929927825927734
1716327048.5932138,52164,-58.654518127441406
1716327050.6220255,53130,-57.971126556396484
1716327057.7017415,56511,-55.782623291015625
1716327062.9078636,58926,-54.52543640136719
1716327066.9671612,60858,-54.167816162109375
1716327067.9804115,61341,-54.140281677246094
1716327069.7042208,62307,-53.707027435302734
1716327071.3185792,63273,-53.079742431640625
1716327077.394905,66171,-52.3886833190918
1716327078.4091017,66654,-52.288509368896484
1716327085.7165952,70035,-51.369258880615234
1716327087.7463193,71001,-50.634033203125
1716327088.754633,71484,-50.30160140991211
1716327091.7885113,72933,-50.09189987182617
1716327098.8826842,76314,-49.23957061767578
1716327101.9000847,77763,-48.653717041015625
1716327103.9204447,78729,-47.85386657714844
1716327105.6520238,79695,-47.81840896606445
1716327111.0700898,82593,-47.62241744995117
1716327111.8748453,83076,-47.7546272277832
1716327112.6773612,83559,-47.6243896484375
1716327117.258721,85974,-47.199222564697266
1716327121.284239,87906,-47.03636932373047
1716327124.3312867,89355,-47.424713134765625
1716327125.3486578,89838,-47.23996353149414
1716327126.3637605,90321,-47.24018859863281
1716327130.423785,92253,-46.88548278808594
1716327131.4402494,92736,-46.68918228149414
1716327132.4553463,93219,-46.63569259643555
1716327139.5612152,96600,-45.957645416259766
1716327142.610562,98049,-45.60873031616211
1716327143.6244142,98532,-45.40951156616211
1716327144.6375432,99015,-45.491477966308594
1716327145.558671,99498,-45.20423889160156
1716327147.531058,100464,-44.63497543334961
1716327151.5915658,102396,-44.11225128173828
1716327153.6207469,103362,-43.90986251831055
1716327155.6566393,104328,-43.578243255615234
1716327159.7160738,106260,-43.365516662597656
1716327160.7325273,106743,-43.66404724121094
1716327161.7492723,107226,-43.25797653198242
1716327164.792935,108675,-43.23241424560547
1716327169.656741,111090,-43.408870697021484
1716327179.7926226,115920,-43.47072219848633
1716327184.8595724,118335,-43.49063491821289
1716327185.8746252,118818,-43.56173324584961
1716327186.8845515,119301,-43.517601013183594
1716327199.1139534,125097,-43.859378814697266
1716327200.1269898,125580,-43.635963439941406
1716327201.1413233,126063,-43.4815788269043
1716327212.3098288,131376,-43.39903259277344
1716327215.3568072,132825,-42.87905502319336
1716327217.377496,133791,-42.768184661865234
1716327219.4070826,134757,-42.11112594604492
1716327223.4535308,136689,-41.865421295166016
1716327226.476483,138138,-41.50599670410156
1716327229.5255935,139587,-41.18696594238281
1716327231.5534103,140553,-40.94144821166992
1716327236.6091986,142968,-40.796268463134766
1716327238.6106136,143934,-40.99422073364258
1716327239.6248844,144417,-41.09557342529297
1716327247.8555648,148281,-40.573936462402344
1716327249.9889798,149247,-40.23086166381836
1716327254.039603,151179,-40.24946975708008
1716327258.0923457,153111,-39.662757873535156
1716327260.1211398,154077,-39.39263153076172
1716327261.1349475,154560,-39.20894241333008
1716327264.1772182,156009,-39.18708801269531
1716327279.3806753,163254,-40.00765609741211
1716327280.3911989,163737,-40.2457275390625
1716327285.4521139,166152,-40.5294075012207
1716327287.4796116,167118,-40.21186828613281
1716327288.4985697,167601,-40.28692626953125
1716327294.5787883,170499,-39.94782638549805
1716327296.647415,171465,-39.51942825317383
1716327300.7032704,173397,-39.627010345458984
1716327304.7607248,175329,-39.787506103515625
1716327305.7774403,175812,-39.83496856689453
1716327306.790682,176295,-39.92303466796875
1716327307.8033638,176778,-40.10743713378906
1716327308.80877,177261,-40.14748001098633
1716327309.8153899,177744,-40.037593841552734
1716327320.9940352,183057,-40.13210678100586
1716327329.0831344,186921,-39.148189544677734
1716327333.1296947,188853,-39.33094787597656
1716327335.1541219,189819,-39.01230239868164
1716327337.179133,190785,-39.17074203491211
1716327340.2084932,192234,-38.77105712890625
1716327345.261164,194649,-38.50989532470703
1716327347.291611,195615,-38.63325500488281
1716327352.3589094,198030,-38.83744812011719
1716327357.4476485,200445,-38.79787063598633
1716327358.4649572,200928,-38.80314254760742
1716327364.5421727,203826,-38.869598388671875
1716327365.5553951,204309,-38.76838302612305
1716327368.594717,205758,-38.498291015625
1716327369.59394,206241,-38.261077880859375
1716327373.5951896,208173,-37.88153839111328
1716327378.6602726,210588,-37.45333480834961
1716327379.6343374,211071,-37.359397888183594
1716327380.6492145,211554,-37.50611114501953
1716327382.6839628,212520,-37.236576080322266
1716327386.747482,214452,-36.685264587402344
1716327387.7626798,214935,-36.62644577026367
1716327389.8539789,215901,-36.56324768066406
1716327393.9127033,217833,-36.779151916503906
1716327395.9430203,218799,-36.73049545288086
1716327400.0012941,220731,-36.38117599487305
1716327404.0735352,222663,-36.74282455444336
1716327405.0957117,223146,-36.73786926269531
1716327409.1477768,225078,-36.458946228027344
1716327410.1632864,225561,-36.40373229980469
1716327412.186726,226527,-36.288055419921875
1716327414.2150173,227493,-36.15528869628906
1716327418.261252,229425,-36.45615005493164
1716327419.2755663,229908,-36.375736236572266
1716327424.346966,232323,-36.62790298461914
1716327425.4388795,232806,-36.77524948120117
1716327428.4902246,234255,-37.25993728637695
1716327431.546858,235704,-37.06365966796875
1716327432.569238,236187,-36.89170837402344
1716327433.5832782,236670,-36.79126739501953
1716327439.4023602,239085,-36.40378189086914
1716327443.4637554,241017,-36.44559860229492
1716327448.535212,243432,-36.11211395263672
1716327454.6194992,246330,-36.7193489074707
1716327455.634673,246813,-36.882503509521484
1716327456.6495495,247296,-36.867652893066406
1716327457.6615834,247779,-36.965675354003906
1716327458.6908183,248262,-36.80647659301758
1716327459.7061846,248745,-36.8705940246582
1716327462.759375,250194,-36.650848388671875
1716327463.7734947,250677,-36.61294937133789
1716327464.788129,251160,-36.59381866455078
1716327479.0261598,257922,-35.97275924682617
1716327480.0398922,258405,-36.02272415161133
1716327482.0734448,259371,-36.339111328125
1716327483.0871537,259854,-36.26087951660156
1716327484.101521,260337,-36.4500846862793
1716327486.1417897,261303,-36.31775665283203
1716327488.169271,262269,-35.77231979370117
1716327490.0904577,263235,-35.773231506347656
1716327492.1220224,264201,-35.61695098876953
1716327493.1396554,264684,-35.5178108215332
1716327496.0733187,266133,-35.59484100341797
1716327497.6946745,267099,-35.128047943115234
1716327500.4234679,268548,-35.39767837524414
1716327501.4375868,269031,-35.25636672973633
1716327507.508319,271929,-35.229801177978516
1716327508.5236282,272412,-35.410972595214844
1716327509.539548,272895,-35.70890426635742
1716327513.5998876,274827,-36.20807647705078
1716327516.646374,276276,-35.826290130615234
1716327518.727634,277242,-35.972007751464844
1716327522.6429083,278691,-35.875511169433594
1716327527.7938535,280623,-35.884124755859375
1716327532.143349,282555,-35.42826461791992
1716327533.1601138,283038,-34.970252990722656
1716327536.202579,284487,-34.755245208740234
1716327538.2374141,285453,-34.62299346923828
1716327539.4358647,285936,-34.65886688232422
1716327543.3656108,287385,-34.788612365722656
1716327545.9590802,288351,-34.7381477355957
1716327548.5762541,289317,-34.59638977050781
1716327549.8741934,289800,-34.7697639465332
1716327553.567292,291249,-34.464752197265625
1716327554.8700144,291732,-34.40599060058594
1716327561.160969,294147,-34.42896270751953
1716327567.5148513,296562,-34.50347900390625
1716327568.7667322,297045,-34.23147964477539
1716327570.8038383,298011,-34.394378662109375
1716327574.870688,299943,-34.149131774902344
1716327576.8971813,300909,-34.309322357177734
1716327577.9107215,301392,-34.37560272216797
1716327580.9549518,302841,-35.09188461303711
1716327582.9498692,303807,-35.038997650146484
1716327583.7757294,304290,-35.20854949951172
1716327587.4702725,306222,-35.344032287597656
1716327591.5355515,308154,-35.604976654052734
1716327594.5872083,309603,-35.85897445678711
1716327595.6339548,310086,-36.03475570678711
1716327596.6493864,310569,-35.92070388793945
1716327597.6698833,311052,-36.05266189575195
1716327598.6949,311535,-35.8264045715332
1716327603.205714,313950,-35.46806716918945
1716327604.8230536,314916,-35.295143127441406
1716327605.7414336,315399,-35.184993743896484
1716327607.7699485,316365,-35.10914993286133
1716327608.7760425,316848,-35.13005065917969
1716327611.8215911,318297,-34.85637664794922
1716327613.8516688,319263,-34.815208435058594
1716327620.5262518,322644,-35.27058792114258
1716327623.5412872,324093,-35.360084533691406
1716327628.6059234,326508,-34.98841857910156
1716327629.6184611,326991,-34.95120620727539
1716327633.730436,328923,-34.81294631958008
1716327637.9016354,330855,-34.45140075683594
1716327640.8886847,332304,-34.73845672607422
1716327645.966436,334719,-33.9526252746582
1716327647.9951181,335685,-33.989837646484375
1716327650.0112767,336651,-34.21636199951172
1716327651.022179,337134,-34.15830612182617
1716327653.0453885,338100,-34.31539535522461
1716327656.0825057,339549,-34.06985855102539
1716327659.1299822,340998,-34.1621208190918
1716327664.2178178,343413,-34.921817779541016
1716327669.299381,345828,-35.084320068359375
1716327671.3346295,346794,-35.139984130859375
1716327674.3774776,348243,-35.08890151977539
1716327675.5368116,348726,-34.974281311035156
1716327677.572057,349692,-35.31044006347656
1716327679.4285755,350658,-35.426788330078125
1716327680.2338872,351141,-35.32637405395508
1716327681.8460846,352107,-35.23123550415039
1716327682.6514878,352590,-35.22951126098633
